h1;This was:
i;logo.png
s;8
h2;An AckCon 2018 Production
s;8;
h3;AckCon Staff
s;4;
l;Simon "simonschreibt" Trümpler
r;Art Direction
r;Level
s;2
l;Felix "MasterQ32" Queißner
r;Framework
r;Weapons
r;Credits
s;2
l;Marius "mk1" Kappes
r;Sound Design
r;Music
r;Effects
s;2
l;Robert "firoball" Jäger
r;Enemy-AI
r;Effects
s;2
l;Nils "slin" Daumann
r;Shader Master
s;2
l;Jonas "padmalcom" Freiknecht
r;Collectibles
r;Interactive Objects
s;2
l;Felix "superku" Pohl
r;Movement
r;Weapons
s;2
l;Michael "xwcg" Schwarz
r;Level Design
s;2
l;Henrik "hen-woll" Wollmann
r;Character
r;Weapons
s;2
l;Andreas "lemming" Holm
r;Props
r;Credits
s;2
l;Kitsune "Kitsu" Schwarzfeuer
r;Weapons
r;Effects
s;2
l;Steffen "stpohl" Pohl
r;HUD
s;8
h3;Special Thanks To
s;4;
x;Kanal 21;Providing the location
s;1;
x;Achim "Pappenheimer" Lübbeke;Pre-AckCon negotiations with Kanal 21
s;1;
x;real,-;Providing food staples and energy drinks
s;8
h3;Much Thanks To
s;4;
x;J. C. Lotter;Providing a monetary boost
s;8
c;No Eselslerchen were harmed during the production of this game.
c;(but they exploded...)
c;(A LOT)
s;8
c;Gamestudio wasn't updated since March 2016, still waiting for the 2017 update!
c;(It's 2018 by the way)
